,nombre,ranking_actual,puntos_wpt,p_jugados,p_ganados,p_perdidos,efectividad,vict_consecutivas,companero_actual,posicion_juego,lugar_nacimiento,fecha_nacimiento,altura,lugar_residencia,url,reference_date
0,Alejandra Salazar Bengoechea,1,12390,272,219,53,"80,51",16,Gemma Triay Pons,Drive,Madrid,31/12/1985,"1,68",Madrid,https://www.worldpadeltour.com/jugadores/alejandra-salazar-bengoechea/,05/04/2021
1,Ariana Sánchez Fallada,1,12390,239,161,78,"67,36",8,Paula Josemaría Martín,Revés,Reus,19/07/1997,"1,65",Barcelona,https://www.worldpadeltour.com/jugadores/ariana-sanchez-fallada/,05/04/2021
2,Gemma Triay Pons,3,11665,250,176,74,"70,4",16,Alejandra Salazar Bengoechea,Revés,Mahón,28/06/1992,"1,73",Barcelona,https://www.worldpadeltour.com/jugadores/gemma-triay-pons/,05/04/2021
3,Lucía Sainz Pelegri,3,11665,262,185,77,"70,61",16,Beatriz González Fernández,Drive,Barcelona,05/10/1984,"1,73",Barcelona,https://www.worldpadeltour.com/jugadores/lucia-sainz-pelegri/,05/04/2021
4,Marta Marrero Marrero,5,11260,287,224,63,"78,05",16,Marta Ortega Gallego,Revés,Las Palmas de Gran Canaria,16/01/1983,"1,73",Barcelona,https://www.worldpadeltour.com/jugadores/marta-marrero-marrero/,05/04/2021
5,Marta Ortega Gallego,6,10930,269,188,81,"69,89",9,Marta Marrero Marrero,Drive,Madrid,14/02/1997,"1,70",Madrid,https://www.worldpadeltour.com/jugadores/marta-ortega-gallego/,05/04/2021
6,Paula Josemaría Martín,7,8885,139,77,62,"55,4",7,Ariana Sánchez Fallada,Drive,Moraleja (Caceres),31/10/1996,"1,60",Valladolid,https://www.worldpadeltour.com/jugadores/paula-josemaria-martin/,05/04/2021
7,María José Sánchez Alayeto,8,8170,302,244,58,"80,79",30,María Pilar Sánchez Alayeto,Revés,Zaragoza,20/06/1984,"1,73",Madrid,https://www.worldpadeltour.com/jugadores/maria-jose-sanchez-alayeto/,05/04/2021
8,María Pilar Sánchez Alayeto,9,7630,277,228,49,"82,31",30,María José Sánchez Alayeto,Drive,Zaragoza,20/06/1984,"1,73",Madrid,https://www.worldpadeltour.com/jugadores/maria-pilar-sanchez-alayeto/,05/04/2021
9,Elisabet Amatriaín Armas,10,6350,282,198,84,"70,21",7,Sofia Araujo,Drive,Logroño,10/03/1984,"1,61",Madrid,https://www.worldpadeltour.com/jugadores/elisabeth-amatriain-armas/,05/04/2021
10,Patricia Llaguno Zielinski,10,6350,282,198,84,"70,21",7,María Virginia Riera,Revés,Cartagena,25/02/1985,"1,67",Madrid,https://www.worldpadeltour.com/jugadores/patricia-llaguno-zielinski/,05/04/2021
11,Beatriz González Fernández,12,6045,130,75,55,"57,69",7,Lucía Sainz Pelegri,Revés,Málaga,23/11/2001,"1,74",Málaga,https://www.worldpadeltour.com/jugadores/beatriz-gonzalez-fernandez/,05/04/2021
12,Ana Catarina Nogueira ,13,4980,184,103,81,"55,98",7,Teresa Navarro López-Barajas,Revés,Oporto,20/09/1978,"1,71",Porto,https://www.worldpadeltour.com/jugadores/ana-catarina-nogueira/,05/04/2021
13,Delfina Brea Senesi,14,3600,118,71,47,"60,17",6,Tamara Icardo Alcorisa,Drive,Buenos Aires,05/12/1999,"1,7",Madrid,https://www.worldpadeltour.com/jugadores/delfina-brea-senesi/,05/04/2021
14,Carolina Navarro Björk,15,3135,262,171,91,"65,27",7,Cecilia Reiter,Revés,Málaga,26/02/1976,"1,65",Madrid,https://www.worldpadeltour.com/jugadores/carolina-navarro-bjork/,05/04/2021
15,Aranzazu Osoro Ulrich,16,2613,85,42,43,"49,41",5,Victoria Iglesias Segador,Drive,Parana - Arg,03/06/1996,"1,65",Barcelona ,https://www.worldpadeltour.com/jugadores/aranzazu-osoro-ulrich/,05/04/2021
16,María Virginia Riera ,17,2460,69,36,33,"52,17",4,Patricia Llaguno Zielinski,Drive,Resistencia - Arg,27/09/1988,"1,65",Resistencia - Arg,https://www.worldpadeltour.com/jugadores/maria-virginia-riera/,05/04/2021
17,Sofia Araujo ,17,2460,90,48,42,"53,33",3,Elisabet Amatriaín Armas,Revés,Lisboa - Portugal,30/11/1994,"1,72",Lisboa - Portugal,https://www.worldpadeltour.com/jugadores/sofia-araujo/,05/04/2021
18,Alba Galán Romo,19,2243,199,112,87,"56,28",3,María Del Carmen Villalba Sánchez,Revés,Madrid,14/04/1992,"1,84",Madrid,https://www.worldpadeltour.com/jugadores/alba-galan-romo/,05/04/2021
19,Victoria Iglesias Segador,20,2240,210,122,88,"58,1",6,Aranzazu Osoro Ulrich,Revés,Sevilla,16/05/1994,"1,76",Sevilla,https://www.worldpadeltour.com/jugadores/victoria-iglesias-segador/,05/04/2021
20,Verónica Virseda Sánchez,21,2212,134,60,74,"44,78",3,Lucía Martínez Gómez,Revés,Toledo,01/07/1992,"1,70",Toledo,https://www.worldpadeltour.com/jugadores/veronica-virseda-sanchez/,05/04/2021
21,María Del Carmen Villalba Sánchez,22,2150,195,105,90,"53,85",3,Alba Galán Romo,Drive,Málaga,20/05/1987,"1,60",Madrid,https://www.worldpadeltour.com/jugadores/maria-del-carmen-villalba-sanchez/,05/04/2021
22,Cecilia Reiter ,23,1770,251,164,87,"65,34",7,Carolina Navarro Björk,Drive,Olivos - B.A. - Arg,30/03/1982,"1,73",Madrid,https://www.worldpadeltour.com/jugadores/cecilia-reiter/,05/04/2021
23,Tamara Icardo Alcorisa,24,1588,133,55,78,"41,35",3,Delfina Brea Senesi,Revés,Valencia,10/10/1995,"1,78",Valencia,https://www.worldpadeltour.com/jugadores/tamara-icardo-alcorisa/,05/04/2021
24,Teresa Navarro López-Barajas,25,1573,180,91,89,"50,56",3,Ana Catarina Nogueira,Drive,Granada,22/10/1988,"1,70",Las Palmas,https://www.worldpadeltour.com/jugadores/teresa-navarro-lopez-barajas/,05/04/2021
25,Sandra Hernández Camacho,26,1564,151,68,83,"45,03",2,Araceli Martínez Ibáñez,Drive,Palma de Mallorca,31/10/1986,"1,61",Palma de Mallorca,https://www.worldpadeltour.com/jugadores/sandra-hernandez-camacho/,05/04/2021
26,Catalina Tenorio ,27,1544,248,158,90,"63,71",7,Julieta Evangelina Bidahorria,Drive,Parana - Arg,27/08/1975,"1,62",Madrid,https://www.worldpadeltour.com/jugadores/catalina-tenorio/,05/04/2021
27,Marta Talaván Ruiz,28,1500,144,60,84,"41,67",3,Lorena Rufo Ortiz,Drive,Madrid,12/04/1995,"1,63",Madrid,https://www.worldpadeltour.com/jugadores/marta-talavan-ruiz/,05/04/2021
28,Carla Mesa Salazar,29,1442,160,74,86,"46,25",2,Barbara Las Heras Monterde,Revés,Tenerife,24/03/1991,"1,68",Madrid,https://www.worldpadeltour.com/jugadores/carla-mesa-salazar/,05/04/2021
29,Lucía Martínez Gómez,30,1389,168,82,86,"48,81",3,Verónica Virseda Sánchez,Drive,Granada,16/05/1991,"1,66",Madrid,https://www.worldpadeltour.com/jugadores/lucia-martinez-gomez/,05/04/2021
30,Nicole Traviesa Mola,31,1370,105,49,56,"46,67",5,Nelida Brito,Revés,Barcelona,13/07/1999,"1,74",Barcelona,https://www.worldpadeltour.com/jugadores/nicole-traviesa-mola/,05/04/2021
