,nombre,ranking_actual,puntos_wpt,p_jugados,p_ganados,p_perdidos,efectividad,vict_consecutivas,companero_actual,posicion_juego,lugar_nacimiento,fecha_nacimiento,altura,lugar_residencia,url,reference_date
0,Alejandro Galán Romo,1,16360,297,206,91,"69,36",18,Juan Lebrón Chincoa,Revés,Madrid,15/05/1996,"1,86",Madrid,https://www.worldpadeltour.com/jugadores/alejandro-galan-romo/,05/04/2021
1,Juan Lebrón Chincoa,2,15880,312,199,113,"63,78",18,Alejandro Galán Romo,Revés,Puerto de Sta. María,30/01/1995,"1,84",Madrid,https://www.worldpadeltour.com/jugadores/juan-lebron/,05/04/2021
2,Francisco Navarro Compán,3,11485,415,312,103,"75,18",15,Martín Di Nenno,Revés,Sevilla,10/02/1989,"1,81",Madrid,https://www.worldpadeltour.com/jugadores/francisco-navarro-compan/,05/04/2021
3,Carlos Daniel Gutiérrez ,4,10770,435,338,97,"77,7",13,Fernando Belasteguín,Drive,San Luis - Argentina,15/06/1984,"1,77",Madrid,https://www.worldpadeltour.com/jugadores/carlos-daniel-gutierrez/,05/04/2021
4,Pablo Lima ,5,10630,430,367,63,"85,35",53,Agustín Tapia,Drive,Porto Alegre - Bra,11/10/1986,"1,80",Bilbao,https://www.worldpadeltour.com/jugadores/pablo-lima/,05/04/2021
5,Fernando Belasteguín ,6,10175,419,373,46,"89,02",63,Carlos Daniel Gutiérrez,Revés,Pehuajo,19/05/1979,"1,80",Barcelona,https://www.worldpadeltour.com/jugadores/fernando-belasteguin/,05/04/2021
6,Agustín Tapia ,7,9325,93,60,33,"64,52",8,Fernando Belasteguín,Revés,Catamarca - Arg,24/07/1999,"1,79",Barcelona - España,https://www.worldpadeltour.com/jugadores/agustin-tapia/,05/04/2021
7,Maximiliano Sánchez ,8,8490,414,310,104,"74,88",13,Adrián Allemandi,Revés,Villa Mercedes - Arg,15/12/1986,"1,83",Madrid,https://www.worldpadeltour.com/jugadores/maximiliano-sanchez/,05/04/2021
8,Franco Stupaczuk ,9,8430,289,199,90,"68,86",10,Alejandro Ruiz Granados,Revés,Chaco - Arg,25/03/1996,"1,80",Madrid,https://www.worldpadeltour.com/jugadores/franco-stupaczuk/,05/04/2021
9,Federico Chingotto ,10,6730,198,132,66,"66,67",10,Juan Tello,Drive,Buenos Aires - Arg,13/04/1997,"1,70",Málaga,https://www.worldpadeltour.com/jugadores/federico-chingotto/,05/04/2021
10,Juan Tello ,10,6730,196,132,64,"67,35",10,Federico Chingotto,Revés,Córdoba - Arg,01/02/1995,"1,85",Málaga,https://www.worldpadeltour.com/jugadores/juan-tello/,05/04/2021
11,Matías Díaz Sangiorgio,12,5705,396,285,111,"71,97",13,Agustín Gómez Silingo,Drive,Buenos Aires,27/09/1978,"1,68",Madrid,https://www.worldpadeltour.com/jugadores/matias-diaz-sangiorgio/,05/04/2021
12,Javier Ruiz González,13,5235,264,148,116,"56,06",7,Uri Botello Cohen,Revés,Granada,17/06/1987,"1,83",Granada,https://www.worldpadeltour.com/jugadores/javier-ruiz-gonzalez/,05/04/2021
13,Uri Botello Cohen,13,5235,280,147,133,"52,5",5,Javier Ruiz González,Drive,Melilla,16/08/1988,"1,72",Madrid,https://www.worldpadeltour.com/jugadores/uri-botello-cohen/,05/04/2021
14,Juan Mieres Petruf,15,4177,359,254,105,"70,75",9,Álvaro Cepero Rodríguez,Drive,Bahía Blanca,30/10/1980,"1,80",Madrid,https://www.worldpadeltour.com/jugadores/juan-mieres-petruf/,05/04/2021
15,Agustín Gómez Silingo,16,4130,265,151,114,"56,98",4,Matías Díaz Sangiorgio,Revés,La Plata,01/08/1983,"1,86",Madrid,https://www.worldpadeltour.com/jugadores/agustin-gomez-silingo/,05/04/2021
16,Martín Di Nenno ,17,3685,208,136,72,"65,38",7,Francisco Navarro Compán,Drive,Ezieza - Bs As,18/03/1997,"1,75",Buenos Aires,https://www.worldpadeltour.com/jugadores/martin-di-nenno/,05/04/2021
17,Adrián Allemandi ,18,3611,312,192,120,"61,54",4,Maximiliano Sánchez,Drive,Neuquén,28/12/1980,"1,78",Madrid,https://www.worldpadeltour.com/jugadores/adrian-allemandi/,05/04/2021
18,Alejandro Ruiz Granados,19,3380,264,132,132,50,4,Franco Stupaczuk,Drive,Málaga,12/06/1994,"1,87",Madrid,https://www.worldpadeltour.com/jugadores/alejandro-ruiz/,05/04/2021
19,Javier Rico Dasi,20,3190,228,137,91,"60,09",6,Jerónimo González Luque,Drive,Valencia,15/05/1998,"1,67",Valencia,https://www.worldpadeltour.com/jugadores/javier-rico-dasi/,05/04/2021
20,Jorge Nieto Ruiz,21,2905,203,119,84,"58,62",6,Juan Martín Díaz Martínez,Revés,Madrid,18/12/1998,"1,75",Madrid,https://www.worldpadeltour.com/jugadores/jorge-nieto-ruiz/,05/04/2021
21,Martín Sánchez Piñeiro,21,2905,261,133,128,"50,96",5,Javier González Barahona,Revés,A Coruña,26/10/1992,"1,84",Barcelona,https://www.worldpadeltour.com/jugadores/martin-sanchez-pineiro/,05/04/2021
22,Miguel Lamperti ,23,2270,335,218,117,"65,07",4,Arturo Coello Manso,Revés,Bahía Blanca,11/11/1978,"1,80",Madrid,https://www.worldpadeltour.com/jugadores/miguel-lamperti/,05/04/2021
23,Juan Cruz Belluati López,24,2240,268,154,114,"57,46",6,Javier Garrido Gómez,Drive,Buenos Aires - Arg,20/10/1993,"1,76",Madrid,https://www.worldpadeltour.com/jugadores/juan-cruz-belluati-lopez/,05/04/2021
24,Pablo Lijó Santos,25,2232,240,127,113,"52,92",6,Luciano Capra,Revés,Sta. Uxía de Ribeira,06/07/1991,"1,85",Madrid,https://www.worldpadeltour.com/jugadores/pablo-lijo/,05/04/2021
25,Lucas De Oliveira Campagnolo,26,2190,200,122,78,61,6,Lucas Bergamini,Revés,Alegrete - Bra,13/06/1995,"1,79",Porto Alegre - Bra,https://www.worldpadeltour.com/jugadores/lucas-de-oliveira-campagnolo/,05/04/2021
26,Jerónimo González Luque,27,2120,254,153,101,"60,24",5,Javier Rico Dasi,Revés,Antequera,21/02/1997,"1,80",Antequera,https://www.worldpadeltour.com/jugadores/jeronimo-gonzalez-luque/,05/04/2021
27,Ramiro Moyano ,28,2010,265,141,124,"53,21",5,José Rico Dasi,Revés,La Plata,25/10/1989,"1,85",Madrid,https://www.worldpadeltour.com/jugadores/ramiro-moyano/,05/04/2021
28,Luciano Capra ,29,1985,263,136,127,"51,71",6,Pablo Lijó Santos,Drive,Quilmes,16/09/1993,"1,84",Madrid,https://www.worldpadeltour.com/jugadores/luciano-capra/,05/04/2021
29,Lucas Bergamini ,30,1919,171,102,69,"59,65",6,Miguel Lamperti,Drive,Bento Gonçalves - Brasil,18/08/1997,"1,65",Madrid,https://www.worldpadeltour.com/jugadores/lucas-da-cunha-bergamini/,05/04/2021
30,Javier Garrido Gómez,31,1832,171,93,78,"54,39",7,Javier Martínez Vázquez,Revés,Córdoba,26/10/2000,"1,84",Madrid,https://www.worldpadeltour.com/jugadores/javier-garrido-gomez/,05/04/2021
31,Cristian Gutiérrez Albizu,32,1695,331,219,112,"66,16",13,Aday Santana Ferrero,Revés,Mar del Plata,06/05/1978,"1,75",Madrid,https://www.worldpadeltour.com/jugadores/cristian-gutierrez-albizu/,05/04/2021
32,Ernesto Moreno Carrasco,33,1674,253,117,136,"46,25",6,Denis Tomas Perino,Revés,Málaga,19/11/1994,"1,82",Torremolinos,https://www.worldpadeltour.com/jugadores/ernesto-moreno/,05/04/2021
33,Gonzalo Rubio Pérez,34,1639,260,122,138,"46,92",7,Christian Fuster Simarro,Drive,Sevilla,22/02/1991,"1,83",Sevilla,https://www.worldpadeltour.com/jugadores/gonzalo-rubio-perez/,05/04/2021
34,Álvaro Cepero Rodríguez,35,1622,247,111,136,"44,94",6,Juan Mieres Petruf,Drive,San Fernando,26/04/1991,"1,67",Madrid,https://www.worldpadeltour.com/jugadores/alvaro-cepero/,05/04/2021
35,Juan Martín Díaz Martínez,36,1520,307,240,67,"78,18",33,Jorge Nieto Ruiz,Drive,Mar del Plata - Arg,28/11/1975,"1,84",Madrid,https://www.worldpadeltour.com/jugadores/juan-martin-diaz-martinez/,05/04/2021
36,Javier Martínez Vázquez,37,1486,242,140,102,"57,85",7,Agustín Gutiérrez,Drive,Valladolid,18/11/1996,"1,74",Valladolid,https://www.worldpadeltour.com/jugadores/javier-martinez-vazquez/,05/04/2021
37,José Rico Dasi,38,1482,219,106,113,"48,4",6,Ramiro Moyano,Drive,Valencia,21/09/1995,"1,76",Valencia,https://www.worldpadeltour.com/jugadores/jose-rico-dasi/,05/04/2021
38,Antonio Fernández Cano,39,1468,222,121,101,"54,5",5,José Antonio García Diestro,Revés,Badajoz,17/08/1992,"1,8",Madrid,https://www.worldpadeltour.com/jugadores/antonio-fernandez-cano/,05/04/2021
39,Ignacio González Gadea,39,1468,228,93,135,"40,79",5,Víctor Ruiz Remedios,Drive,Madrid,31/12/1986,"1,79",Madrid,https://www.worldpadeltour.com/jugadores/ignacio-gonzalez-gadea/,05/04/2021
40,Adrián Blanco Antelo,41,1452,230,103,127,"44,78",7,Maximiliano Grabiel Martínez,Revés,Orense,29/07/1987,"1,83",Valladolid,https://www.worldpadeltour.com/jugadores/adrian-blanco-antelo/,05/04/2021
41,Arturo Coello Manso,42,1435,72,39,33,"54,17",5,Miguel Lamperti,Drive,Valladolid,08/03/2002,"1,90",Valladolid - España,https://www.worldpadeltour.com/jugadores/arturo-coello-manso/,05/04/2021
42,Víctor Ruiz Remedios,43,1402,259,139,120,"53,67",5,Ignacio González Gadea,Revés,Cartagena,09/07/1989,"1,79",Cartagena,https://www.worldpadeltour.com/jugadores/victor-ruiz-remedios/,05/04/2021
43,Iván Ramírez Del Campo,44,1392,118,69,49,"58,47",6,Arturo Coello Manso,Revés,Madrid,14/11/2001,"1,72",Madrid,https://www.worldpadeltour.com/jugadores/ivan-ramirez-del-campo/,05/04/2021
44,Francisco Manuel Gil Morales,45,1388,143,89,54,"62,24",8,Sergio Alba Sánchez,Drive,Córdoba - Esp,27/04/1996,"1,80",Puente Genil,https://www.worldpadeltour.com/jugadores/francisco-manuel-gil-morales/,05/04/2021
45,Sergio Alba Sánchez,46,1351,274,171,103,"62,41",8,Francisco Manuel Gil Morales,Revés,Guadalajara,26/05/1990,"1,78",Guadalajara,https://www.worldpadeltour.com/jugadores/sergio-alba-sanchez/,05/04/2021
